First Name,Last Name,School,Email
Charles,Cox,MIT,over.baked.potatoes.420@gmail.com
Adrian,Martinez,UCD,over.baked.potatoes.420@gmail.com
Anna,Peterson,UCLA,over.baked.potatoes.420@gmail.com
Brooklyn,Gray,Cph,over.baked.potatoes.420@gmail.com
Caroline,Bennett,Pek,over.baked.potatoes.420@gmail.com
Aaron,Baker,MIT,over.baked.potatoes.420@gmail.com
Jordan,Bailey,Syd,over.baked.potatoes.420@gmail.com
Emily,Parker,MIT,over.baked.potatoes.420@gmail.com
Avery,Walker,CUB,
Owen,Nelson,NUS,over.baked.potatoes.420@gmail.com
Eli,Cox,NUS,over.baked.potatoes.420@gmail.com
Claire,Wood,Syd,over.baked.potatoes.420@gmail.com
Hannah,Parker,MIT,over.baked.potatoes.420@gmail.com
Jordan,Phillips,UWA,
Evelyn,Clark,ICL,
Lily,Stewart,UWA,
Hazel,Hughes,Chi,
Jack,Morgan,UCD,over.baked.potatoes.420@gmail.com
Olivia,Evans,Pek,over.baked.potatoes.420@gmail.com
Joshua,Evans,UCD,over.baked.potatoes.420@gmail.com
Lincoln,Ramirez,Mel,over.baked.potatoes.420@gmail.com
Henry,Cox,Edi,over.baked.potatoes.420@gmail.com
Daniel,Perry,Tor,over.baked.potatoes.420@gmail.com
Jordan,Kelly,Pek,over.baked.potatoes.420@gmail.com
Samuel,Perry,Har,over.baked.potatoes.420@gmail.com
Hazel,Evans,UWA,
Emma,Gonzalez,Har,over.baked.potatoes.420@gmail.com
Skylar,Price,Syd,over.baked.potatoes.420@gmail.com
Noah,Richardson,UCD,over.baked.potatoes.420@gmail.com
Evelyn,Gonzalez,Tor,over.baked.potatoes.420@gmail.com
Scarlett,Robinson,Cam,over.baked.potatoes.420@gmail.com
Henry,Cox,Yal,over.baked.potatoes.420@gmail.com
Violet,Clark,UWA,over.baked.potatoes.420@gmail.com
Skylar,Garcia,MIT,over.baked.potatoes.420@gmail.com
Ellie,Hughes,Cal,over.baked.potatoes.420@gmail.com
Audrey,King,Tsi,over.baked.potatoes.420@gmail.com
Oliver,Roberts,CUB,
Riley,Anderson,Prn,
Lucas,Reed,UWA,
Adrian,Jackson,Cal,over.baked.potatoes.420@gmail.com
Zoey,Perez,Cam,over.baked.potatoes.420@gmail.com
Jayden,Young,Har,over.baked.potatoes.420@gmail.com
Jack,Powell,CUB,over.baked.potatoes.420@gmail.com
